correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
TlBeI3,3.575,5.448575209,12.48635057,-0.359034176,-34.38651642
SrCuBr3,4.5459,5.166487213,-0.659238978,-1.308802198,-12.01178262
PbHgCl3,5.8859,5.330315773,-0.343470312,-0.532429496,10.42310157
HgMnCl3,4.393,4.930179343,-0.369159328,-0.805675268,-10.89573635
RbHgF3,5.153,4.625787094,-1.917895456,-2.154973806,11.39725835
AuV_Cl3,5.693,4.821169686,-0.051936128,-0.566630022,18.0833775
TiLiCl3,5.1459,4.635322763,-0.890018214,-1.075716714,11.01492308
NaBeI3,3.575,5.430579939,10.08421446,-0.54823843,-34.16909354
V_CuF3,4.5459,4.050584573,-1.010736108,-1.31495174,12.22824553
PdBeBr3,3.575,4.826965109,4.814741408,-0.094245706,-25.93689991
CsV_Cl3,5.693,5.08688856,-1.416571874,-1.659536292,11.9151704
AgCdBr3,4.621,5.466894612,0.761876452,-0.429698574,-15.47303674
CdCuI3,4.5459,5.453425922,1.511279514,0.000876486,-16.64139084
CsBeI3,3.575,5.600447117,14.07150988,-0.759592446,-36.16581096
K_MnCl3,4.393,5.05462418,-1.059734086,-1.63014315,-13.08948314
HgBeI3,3.575,5.360736024,12.05895458,0.003699662,-33.31139635
HgMnBr3,4.393,5.207734505,0.536981344,-0.537072234,-15.64470125
AuCdI3,4.621,5.853572472,2.942885374,0.247813132,-21.05675599
AuTiF3,5.113,4.10025629,-1.174542374,-2.11968462,24.69952214
CuBeCl3,3.575,4.512522016,1.767519404,-0.568899776,-20.77600979
NaCdCl3,4.621,5.221952622,-0.89310871,-1.426413382,-11.50819752
AuMnBr3,4.393,5.156734166,0.680994178,-0.20596741,-14.81042345
TlHgF3,5.153,4.614591182,-1.458429744,-1.712031616,11.66753016
SrNaBr3,5.9859,5.401586495,-1.609395366,-1.7807547,10.81744235
BaCuBr3,4.5459,5.22923911,-0.65530704,-1.475068936,-13.06765852
TlTiF3,5.113,4.266173654,-1.97558821,-2.604424266,19.84978612
RbV_F3,5.133,4.23417833,-2.175028052,-2.842768494,21.22777077
HgV_Cl3,5.693,4.88356972,-0.458187434,-0.903575776,16.57456177
SrNaCl3,5.6259,5.087096822,-1.95304236,-2.12218285,10.59156523
HgV_F3,5.133,4.140988111,-1.22147563,-2.112630064,23.95592217
AgCdI3,4.621,5.885460283,2.854620598,-0.017951398,-21.48447568
NaV_F3,5.133,4.119049862,-1.937806274,-2.751693346,24.61611711
CsMnBr3,4.393,5.438072812,0.305576014,-1.383195914,-19.21770539
PdLiCl3,5.1459,4.646032021,-0.314986024,-0.45003114,10.75903
InCdCl3,4.621,5.249042326,-0.484651822,-1.08933226,-11.96489354
