,correct_formula,ML_prediction
307,PtCuF3,-1.5685236
308,PtLiBr3,-1.2562811
309,PtLiCl3,-1.5025511
310,PtLiF3,-2.4662251
311,RbBeBr3,-1.0880309
312,RbBeCl3,-0.84861183
313,RbBeF3,-1.5614859
314,RbBeI3,-1.2378951
315,RbFeF3,-1.8812642
316,RbFeI3,-0.68869126
317,RbMgI3,-1.1319895
318,RbSrI3,-1.5545948
319,RbTiBr3,-1.5591738
320,SnCuBr3,-0.656769
321,SnCuCl3,-0.6388881
322,SnCuF3,-1.5209379
323,SnCuI3,-0.7074162
324,SnLiBr3,-1.0295547
325,SnLiCl3,-1.3116345
326,SnLiI3,-0.61160314
327,SrAgBr3,-1.2122825
328,SrAgCl3,-1.3366079
329,SrCuBr3,-0.95161283
330,SrCuCl3,-1.038884
331,SrCuF3,-2.4002366
332,SrCuI3,-0.8583988
333,SrLiBr3,-1.8668064
334,SrLiI3,-1.2251499
335,SrNaBr3,-1.645876
336,SrNaCl3,-1.8733845
337,SrNaF3,-3.241602
338,SrNaI3,-1.2596513
339,TiCuBr3,-0.87100434
340,TiCuCl3,-0.95261675
341,TiCuF3,-2.0761986
342,TiLiBr3,-1.3952198
343,TiLiCl3,-1.6877632
344,TiLiF3,-3.071472
345,VCuCl3,-0.8288828
346,VCuF3,-1.800429
347,VLiCl3,-1.5870292
348,VLiF3,-2.8825662
