,compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
43,CsDyBr3,1706422,-1.81680469,-1.6318752179999998,-1.805275218,-1.8062752180000001,0.010529471999999984
44,CsDyF3,1706460,-3.21714358,-3.0315272859999993,-3.173727285999999,-3.1759272859999994,0.04121629400000071
45,CsDyI3,1706396,-1.36848102,-1.259258236,-1.3582582359999997,-1.356258236,0.012222783999999987
46,CsGeBr3,14503,-1.31213636,-1.1220880939999995,-1.295488094,-1.3284880939999997,-0.016351733999999674
47,CsGeCl3,1706432,-1.54889686,-1.3225172059999997,-1.5355172059999997,-1.5697172059999998,-0.020820345999999823
48,CsGeF3,1709200,-2.57756861,-2.384576206,-2.526776206,-2.5609762059999994,0.016592404000000727
49,CsGeI3,1706397,-0.93535493,-0.8208284199999998,-0.9198284199999998,-0.9498284199999996,-0.014473489999999534
50,CsHgBr3,4639,-1.17758174,-0.9893896739999997,-1.147189674,-1.160189674,0.017392065999999984
51,CsHgCl3,1383702,-1.37405126,-1.1476473379999999,-1.345047338,-1.359247338,0.014803922000000025
52,CsHgF3,3031,-2.21662355,-2.019588,-2.1461880000000004,-2.160388,0.0562355499999998
53,CsHgI3,1706430,-0.85232586,-0.74193416,-0.8253341599999999,-0.8353341599999999,0.016991700000000054
54,CsLaBr3,1711877,-1.90841958,-1.7279273500000003,-1.9013273500000005,-1.9091273500000003,-0.0007077700000004405
55,CsLaCl3,1709262,-2.19835446,-1.9820164800000004,-2.1950164800000005,-2.2040164800000004,-0.005662020000000378
56,CsMoBr3,1711882,-0.93988624,-0.7780743460000004,-0.9514743460000004,-0.9494743460000006,-0.009588106000000596
57,CsMoCl3,1709263,-1.20440657,-1.0085488499999995,-1.2215488499999996,-1.2207488499999997,-0.01634227999999971
58,CsMoF3,1711954,-2.13958089,-1.984174646,-2.126374646,-2.125574646,0.014006243999999946
59,CsMoI3,1718069,-0.55576935,-0.4674955280000006,-0.5664955279999999,-0.5614955280000005,-0.005726178000000415
60,CsNdCl3,1706445,-2.15878748,-1.9417157839999994,-2.1547157839999995,-2.1817157839999997,-0.022928303999999677
61,CsNdF3,1706447,-3.23866366,-3.0559239500000004,-3.1981239500000003,-3.22512395,0.013539709999999872
62,CsPbBr3,5672,-1.50140142,-1.3026501919999998,-1.4760501919999998,-1.4392501919999998,0.06215122800000028
63,CsPbCl3,5671,-1.74367291,-1.5085243780000002,-1.7215243780000002,-1.6859243780000002,0.05774853199999974
64,CsPbI3,20436,-1.11882425,-0.99561777,-1.0946177699999997,-1.0548177699999997,0.06400648000000042
65,CsPdBr3,1489054,-1.12554959,-0.9617025560000001,-1.1351025560000003,-1.143702556,-0.018152965999999937
66,CsPdCl3,1575826,-1.31032552,-1.1120771440000001,-1.3250771440000002,-1.334877144,-0.024551624000000105
67,CsPdF3,1440780,-2.06364637,-1.9039001080000002,-2.046100108,-2.0559001079999994,0.007746262000000392
68,CsPdI3,1709174,-0.84730554,-0.7575472800000003,-0.85654728,-0.8621472799999998,-0.014841739999999826
69,CsPrBr3,1706407,-1.86257389,-1.6823830860000002,-1.8557830860000002,-1.8979830860000002,-0.035409196000000254
70,CsPrCl3,1706454,-2.15756142,-1.9416315480000002,-2.1546315480000002,-2.1980315480000003,-0.04047012800000038
71,CsPrF3,1706464,-3.2157687,-3.034147554,-3.176347554,-3.2197475539999996,-0.003978853999999643
72,CsPrI3,1714547,-1.43259966,-1.3282266540000007,-1.4272266540000003,-1.4664266540000004,-0.03382699400000044
73,CsPtBr3,1709209,-0.99954874,-0.8343094939999998,-1.0077094940000002,-0.9991094939999998,0.0004392460000002263
74,CsPtF3,1709201,-1.82560815,-1.6590609619999999,-1.8012609619999997,-1.7938609620000001,0.03174718799999998
75,CsPtI3,1718049,-0.74809156,-0.6573742080000002,-0.756374208,-0.7447742080000004,0.003317351999999607
76,CsSmBr3,1706424,-1.85125178,-1.6646935920000003,-1.8380935920000003,-1.8724935920000003,-0.021241812000000415
77,CsSmCl3,6024,-2.15552289,-1.9334002039999993,-2.1464002039999994,-2.1820002039999995,-0.02647731399999964
78,CsSmF3,1706459,-3.2219087,-3.034775314,-3.176975314,-3.2125753139999995,0.009333386000000665
79,CsSnBr3,2352,-1.45056354,-1.2308834440000003,-1.4266834440000005,-1.4306834440000002,0.019880095999999847
