,compound,OQMD_id,OQMD_hf,DFT_hf,DFT_corrected_hf,POTCAR,SPIN
377,NaGeI3,1711978,-0.6698081,-0.5346245820000002,-0.6518245820000002,pp_match,Non-magnetic
378,NaHgCl3,1725946,-1.12114465,-0.8744830140000002,-1.0900830140000002,pp_match,Non-magnetic
379,NaHgF3,1706391,-1.97584294,-1.8050725660000002,-1.949872566,pp_match,Non-magnetic
380,NaLaF3,1711857,-3.30405374,-3.1437222219999996,-3.3041222219999997,pp_match,Magnetic
381,NaMgBr3,1713236,-1.58651278,-1.3894590599999999,-1.5810590600000003,pp_match,Non-magnetic
382,NaMgCl3,1710590,-1.95990158,-1.7262657439999995,-1.9574657439999994,pp_match,Non-magnetic
383,NaMgF3,21841,-3.47099942,-3.285560364,-3.4459603640000003,pp_match,Non-magnetic
384,NaMnCl3,1725947,-1.49355469,-1.2585747739999995,-1.4897747739999998,pp_mismatch,Magnetic
385,NaMnF3,1347280,-2.69807927,-2.5098952500000005,-2.6702952500000006,pp_mismatch,Magnetic
386,NaMoF3,1711858,-1.94004481,-1.844187882,-2.004587882,pp_mismatch,Magnetic
387,NaNdF3,1711859,-3.24210543,-3.080538402,-3.240938402,pp_match,Magnetic
388,NaNiCl3,1725948,-1.17346103,-0.9273155739999996,-1.158515574,pp_match,Magnetic
389,NaNiF3,1386221,-2.30608022,-2.108966626,-2.269366626,pp_match,Magnetic
390,NaPbF3,1709166,-2.46659165,-2.3061731460000003,-2.4665731460000004,pp_match,Non-magnetic
391,NaPdF3,1709167,-1.93106774,-1.7916741020000009,-1.9520741020000005,pp_match,Non-magnetic
392,NaPrF3,1711860,-3.22844302,-3.069198338,-3.2295983379999997,pp_match,Magnetic
393,NaRhF3,1713237,-1.87518058,-1.721002458000001,-1.8814024580000006,pp_mismatch,Magnetic
394,NaSmF3,1706392,-3.26599046,-3.097087902,-3.2574879020000003,pp_match,Magnetic
395,NaSnF3,1709168,-2.45523723,-2.270324964000001,-2.4531249640000006,pp_match,Non-magnetic
396,NaTiCl3,1725949,-1.62993371,-1.42198929,-1.6659892899999997,pp_mismatch,Magnetic
397,NaTiF3,1706393,-2.9135323,-2.7550977460000006,-2.928297746,pp_mismatch,Magnetic
398,NaTmF3,1706394,-3.32977137,-3.16893166,-3.3293316600000002,pp_match,Magnetic
399,NaVBr3,1711861,-1.12946469,-0.9544516299999994,-1.1460516299999997,pp_mismatch,Magnetic
400,NaVCl3,1709169,-1.47547477,-1.2672926059999998,-1.4984926060000001,pp_mismatch,Magnetic
401,NaVF3,11333,-2.72841141,-2.585517694,-2.745917694,pp_mismatch,Magnetic
