,compound,OQMD_id,OQMD_hf,DFT_hf,DFT_corrected_hf,POTCAR,SPIN
121,CsPrI3,1714547,-1.43259966,-1.3282266540000007,-1.4272266540000003,pp_match,Magnetic
122,CsPtBr3,1709209,-0.99954874,-0.8343094939999998,-1.0077094940000002,pp_match,Magnetic
123,CsPtF3,1709201,-1.82560815,-1.6590609619999999,-1.8012609619999997,pp_match,Magnetic
124,CsPtI3,1718049,-0.74809156,-0.6573742080000002,-0.756374208,pp_match,Magnetic
125,CsRhBr3,1706423,-0.98836647,-0.8067407719999999,-0.9801407719999999,pp_mismatch,Magnetic
126,CsRhCl3,1549370,-1.20290089,-0.9874253019999997,-1.2004253019999997,pp_mismatch,Magnetic
127,CsRhI3,1706398,-0.69763335,-0.5883852120000004,-0.6873852120000001,pp_mismatch,Magnetic
128,CsSmBr3,1706424,-1.85125178,-1.6646935920000003,-1.8380935920000003,pp_match,Magnetic
129,CsSmCl3,6024,-2.15552289,-1.9334002039999993,-2.1464002039999994,pp_match,Magnetic
130,CsSmF3,1706459,-3.2219087,-3.034775314,-3.176975314,pp_match,Magnetic
131,CsSnBr3,2352,-1.45056354,-1.2308834440000003,-1.4266834440000005,pp_match,Non-magnetic
132,CsSnCl3,5451,-1.68660515,-1.4304913619999997,-1.6658913619999995,pp_match,Non-magnetic
133,CsSnF3,1547166,-2.69887685,-2.4757957940000006,-2.6403957940000002,pp_match,Non-magnetic
134,CsSnI3,12694,-1.07516857,-0.9308857400000004,-1.0522857399999999,pp_match,Non-magnetic
135,CsSrBr3,1346547,-2.21029805,-2.0297236919999997,-2.203123692,pp_match,Non-magnetic
136,CsSrCl3,1709271,-2.51533167,-2.29864738,-2.51164738,pp_match,Non-magnetic
137,CsSrF3,646362,-3.65153321,-3.467474908,-3.6096749079999997,pp_match,Non-magnetic
138,CsTiCl3,1711935,-1.83998443,-1.630805948,-1.856605948,pp_mismatch,Magnetic
139,CsTiF3,1706465,-2.98391523,-2.797313174000001,-2.9523131740000004,pp_mismatch,Magnetic
140,CsTmBr3,1706446,-1.77260873,-1.6018393359999998,-1.7752393359999998,pp_match,Magnetic
141,CsTmCl3,6022,-2.09538795,-1.8886296640000002,-2.1016296640000003,pp_match,Magnetic
142,CsTmF3,1706448,-3.22090751,-3.046701356,-3.1889013559999997,pp_match,Magnetic
143,CsTmI3,1706449,-1.31841019,-1.2238053240000006,-1.3228053240000004,pp_match,Magnetic
144,CsVBr3,1706431,-1.33656886,-1.1834157679999997,-1.3568157680000001,pp_mismatch,Magnetic
145,CsVCl3,1706450,-1.65240357,-1.4647052179999998,-1.6777052179999998,pp_mismatch,Magnetic
146,CsVF3,1440783,-2.77970213,-2.3266624700000005,-2.4688624700000004,pp_mismatch,Non-magnetic
147,CsVI3,1709172,-0.8908545,-0.8117402279999997,-0.9107402279999999,pp_mismatch,Magnetic
148,CsYBr3,1711878,-1.83577817,-1.6650936559999998,-1.8384936560000003,pp_match,Magnetic
149,CsYCl3,1711936,-2.14759698,-1.9435785499999998,-2.15657855,pp_match,Magnetic
150,CsYF3,1713487,-3.22009499,-3.0603856700000005,-3.2025856700000004,pp_match,Magnetic
151,CsYbBr3,13928,-2.22916085,-2.0475626159999996,-2.220962616,pp_match,Non-magnetic
152,CsYbCl3,6023,-2.5690885,-2.35257467,-2.56557467,pp_match,Non-magnetic
153,CsYbF3,646363,-3.87745172,-3.7041006160000003,-3.846300616,pp_match,Non-magnetic
154,CsYbI3,1706455,-1.73156277,-1.623968382,-1.7229683819999997,pp_match,Non-magnetic
155,CsZnBr3,1709210,-1.37284881,-1.167852904,-1.341252904,pp_match,Non-magnetic
156,CsZnCl3,1709265,-1.64398591,-1.4021608520000002,-1.6151608520000003,pp_match,Non-magnetic
157,CsZnF3,1347968,-2.71307608,-2.5026490700000004,-2.6448490700000002,pp_match,Non-magnetic
158,CsZnI3,1711870,-0.96216313,-0.8337432160000007,-0.9327432160000004,pp_match,Non-magnetic
159,CuCdF3,1714541,-1.50598517,-1.2925963380000003,-1.4347963380000002,pp_mismatch,Non-magnetic
160,CuCoF3,1714537,-1.36824049,-1.1818554799999994,-1.3240554799999993,pp_mismatch,Magnetic
161,CuHgF3,1718060,-0.98335529,-0.7866640839999999,-0.9132640839999999,pp_mismatch,Non-magnetic
162,CuMgF3,1718064,-2.53350283,-2.3246144380000002,-2.466814438,pp_mismatch,Non-magnetic
163,CuMnF3,1714545,-1.76400458,-1.5753228860000004,-1.7175228860000002,pp_mismatch,Magnetic
164,CuNiF3,1718061,-1.34709698,-1.1460043880000002,-1.288204388,pp_mismatch,Magnetic
165,CuTmF3,1718067,-2.87338605,-2.6975717080000003,-2.8397717080000002,pp_mismatch,Magnetic
166,CuYbF3,1722764,-2.72990706,-2.565633204,-2.707833204,pp_mismatch,Non-magnetic
167,CuZnCl3,1722766,-0.52646606,-0.28419359600000016,-0.4971935959999998,pp_mismatch,Non-magnetic
168,CuZnF3,1706444,-1.73614335,-1.5253600120000002,-1.667560012,pp_mismatch,Non-magnetic
169,EuLiF3,1347636,-3.87542486,-4.086872686,-4.229072686,pp_mismatch,Non-magnetic
170,HZnF3,1711922,-1.15187905,-0.9538873940000006,-1.0826873940000001,pp_match,Non-magnetic
171,HgScBr3,1546872,-1.36892514,-1.172315024,-1.330115024,pp_match,Magnetic
172,InAgBr3,1728484,-0.59253779,-0.372025748,-0.545425748,pp_match,Non-magnetic
173,InAgCl3,1728505,-0.77208336,-0.5174120859999998,-0.7304120859999998,pp_match,Non-magnetic
174,InAgF3,1720324,-1.57409311,-1.3625047280000007,-1.5047047280000003,pp_match,Non-magnetic
175,InCF3,1731055,-0.46822343,-0.2644959840000003,-0.4066959840000002,pp_match,Non-magnetic
176,InCaBr3,1711875,-1.63163739,-1.413886306,-1.5872863060000002,pp_mismatch,Non-magnetic
177,InCaCl3,1725979,-1.95217305,-1.6966264199999999,-1.9096264199999997,pp_mismatch,Non-magnetic
178,InCaF3,1710666,-3.18018193,-2.947728304,-3.089928304,pp_mismatch,Non-magnetic
179,InCdBr3,1728479,-0.90140779,-0.6638712379999996,-0.8372712379999998,pp_match,Non-magnetic
180,InCdCl3,1725956,-1.15228332,-0.8778659879999997,-1.0908659879999996,pp_match,Non-magnetic
181,InCdF3,1710596,-2.16120163,-1.918322604,-2.060522604,pp_match,Non-magnetic
182,InCoBr3,1728485,-0.51864095,-0.30018359999999955,-0.4735836,pp_match,Magnetic
183,InCoCl3,1722736,-0.78693214,-0.5333417860000007,-0.7463417860000003,pp_match,Magnetic
184,InCrBr3,1549129,-0.82315136,-0.6175409020000004,-0.7909409020000004,pp_mismatch,Magnetic
185,InCrCl3,1549478,-1.11470522,-0.8739629380000005,-1.0869629380000005,pp_mismatch,Magnetic
186,InCrF3,1576298,-2.20829223,-1.9970665440000013,-2.139266544000001,pp_mismatch,Magnetic
187,InCuCl3,1549458,-0.82128177,-0.5899689660000003,-0.8029689659999999,pp_mismatch,Non-magnetic
188,InCuF3,1718047,-1.78428827,-1.5878020719999997,-1.7300020719999996,pp_mismatch,Non-magnetic
189,InDyBr3,1728480,-1.3233058,-1.10925328,-1.2826532800000003,pp_match,Magnetic
190,InDyCl3,1728503,-1.6509225,-1.4012118239999993,-1.6142118239999994,pp_match,Magnetic
191,InDyF3,1718007,-3.05384962,-2.840544838,-2.982744838,pp_match,Magnetic
192,InEuBr3,1728482,-1.70154838,-3.0633715159999992,-3.2367715159999992,pp_mismatch,Magnetic
193,InEuCl3,1711945,-2.02668049,-3.3311517519999994,-3.5441517519999994,pp_mismatch,Magnetic
194,InEuF3,1711951,-3.32720069,-4.49882313,-4.64102313,pp_mismatch,Magnetic
195,InFeBr3,1728486,-0.62691532,-0.41080438399999997,-0.584204384,pp_mismatch,Magnetic
196,InFeCl3,1725952,-0.91345562,-0.6608104340000001,-0.8738104340000001,pp_mismatch,Magnetic
197,InGdBr3,1728473,-1.33788946,-3.078090972,-3.251490972,pp_mismatch,Magnetic
198,InGdF3,1728524,-3.04874392,-4.7016779600000005,-4.84387796,pp_mismatch,Magnetic
199,InGeBr3,1728487,-0.76871922,-0.5476599839999996,-0.721059984,pp_match,Non-magnetic
200,InGeCl3,1728506,-0.99965859,-0.7422949239999999,-0.9552949239999995,pp_match,Non-magnetic
201,InGeF3,1720323,-2.04173401,-1.8182919919999998,-1.9604919919999997,pp_match,Non-magnetic
202,InHgBr3,1711901,-0.6260542,-0.40736309599999987,-0.565163096,pp_match,Non-magnetic
203,InHgF3,1711896,-1.68532223,-1.4573768360000001,-1.5839768360000002,pp_match,Non-magnetic
204,InMgCl3,1725954,-1.631548,-1.383651808,-1.596651808,pp_mismatch,Non-magnetic
205,InMgF3,1710593,-2.96162549,-2.7330463120000004,-2.8752463120000002,pp_mismatch,Non-magnetic
206,InMnBr3,1575536,-0.88079595,-0.6693995060000004,-0.8427995060000004,pp_mismatch,Magnetic
207,InMnCl3,1575943,-1.1721719,-0.924289774,-1.137289774,pp_mismatch,Magnetic
208,InMnF3,1710603,-2.29281475,-2.074169646,-2.216369646,pp_mismatch,Magnetic
209,InNdF3,1720352,-3.0110788,-2.80038782,-2.94258782,pp_match,Magnetic
210,InNiCl3,1575960,-0.81529866,-0.5567360839999997,-0.7697360839999998,pp_mismatch,Magnetic
211,InNiF3,1710681,-1.82564252,-1.5933736139999999,-1.7355736139999998,pp_mismatch,Magnetic
212,InPbBr3,1711930,-0.91932324,-0.6894586619999998,-0.8628586619999998,pp_match,Non-magnetic
213,InPbCl3,1711928,-1.15682785,-0.8905289959999996,-1.1035289959999997,pp_match,Non-magnetic
214,InPbF3,1711933,-2.19227704,-1.9588685679999998,-2.1010685679999996,pp_match,Non-magnetic
215,InPdBr3,1728488,-0.62838028,-0.4347550560000002,-0.6081550560000002,pp_match,Non-magnetic
216,InPdCl3,1722704,-0.80835465,-0.5809481379999997,-0.7939481379999997,pp_match,Non-magnetic
217,InPdF3,1709178,-1.56905933,-1.3808778040000003,-1.5230778040000001,pp_match,Non-magnetic
218,InPrBr3,1728477,-1.3465109,-1.13733994,-1.31073994,pp_match,Magnetic
219,InPrCl3,1728521,-1.65716031,-1.4115595879999994,-1.6245595879999994,pp_match,Magnetic
220,InPrF3,1728525,-3.00419123,-2.794008884,-2.936208884,pp_match,Magnetic
221,InPtF3,1718008,-1.30775873,-1.1112967220000005,-1.2534967220000004,pp_match,Magnetic
