,correct_formula,lat_bvm,lat_opt,hf_opt,A,A',B,B',X,bvm_oqmd_lat_err
167,Cs2ZnCdCl6,7.035641762,7.353428313,-1.646459772,Cs,Cs,Zn,Cd,Cl,-4.321610784
168,Cs2ZnPbCl6,7.533444936,7.612143267,-1.686968414,Cs,Cs,Zn,Pb,Cl,-1.033852468
169,Cs2ZnPdF6,6.164486208,6.165712194,-2.318075764,Cs,Cs,Zn,Pd,F,-0.019883932
170,Cs2ZnPtF6,6.130545082,6.217104401,-2.215668184,Cs,Cs,Zn,Pt,F,-1.39227707
171,CsBaAgCdF6,6.558344685,6.482798967,-2.640502985,Cs,Ba,Ag,Cd,F,1.165325631
172,CsBaCaCuF6,6.261359837,6.283008023,-3.152426664,Cs,Ba,Ca,Cu,F,-0.344551303
173,CsBaCoCuF6,6.111453199,6.050212154,-2.564032372,Cs,Ba,Co,Cu,F,1.012213183
174,CsBaCrAgF6,6.275501972,6.336657309,-2.712557755,Cs,Ba,Cr,Ag,F,-0.965104061
175,CsBaCrCuF6,6.131252189,6.123662314,-2.708206301,Cs,Ba,Cr,Cu,F,0.123943395
176,CsBaCuCdF6,6.320756806,6.272845223,-2.661107075,Cs,Ba,Cu,Cd,F,0.763793483
177,CsBaCuSnF6,6.34197001,6.426116,-2.631325718,Cs,Ba,Cu,Sn,F,-1.309437769
178,CsBaCuSrF6,6.457935522,6.452197096,-3.06829078,Cs,Ba,Cu,Sr,F,0.08893755
179,CsBaCuZnF6,6.100139491,6.090308904,-2.738386256,Cs,Ba,Cu,Zn,F,0.161413602
180,CsBaFeCuF6,6.117110053,6.101280272,-2.610647306,Cs,Ba,Fe,Cu,F,0.259450153
181,CsBaLiFeF6,5.964374989,5.964844911,-3.046397478,Cs,Ba,Li,Fe,F,-0.007878193
182,CsBaLiPtF6,5.989830833,6.082240049,-2.683216884,Cs,Ba,Li,Pt,F,-1.519328656
183,CsBaLiSnF6,6.132666403,6.260412389,-3.067481981,Cs,Ba,Li,Sn,F,-2.040536279
184,CsBaLiTiF6,6.309443098,5.991805915,-3.298908139,Cs,Ba,Li,Ti,F,5.301192787
185,CsBaMgK_F6,6.368840067,6.31363044,-3.447237841,Cs,Ba,Mg,K,F,0.874451356
186,CsBaMnAgF6,6.397124339,6.337371504,-2.750776069,Cs,Ba,Mn,Ag,F,0.94286464
187,CsBaNaFeF6,6.160950674,6.129281359,-3.018068822,Cs,Ba,Na,Fe,F,0.516688877
188,CsBaNaPdF6,6.231661352,6.225060927,-2.726876291,Cs,Ba,Na,Pd,F,0.106029886
189,CsBaNaV_F6,6.73512138,6.127130461,-3.216410224,Cs,Ba,Na,V,F,9.922930854
190,CsBaNiCuF6,6.085997355,6.026092464,-2.590126163,Cs,Ba,Ni,Cu,F,0.994091799
191,CsBaPdAgF6,6.343384223,6.354382144,-2.362125901,Cs,Ba,Pd,Ag,F,-0.173076166
192,CsK_AgAuCl6,7.296493454,7.30849668,-1.218424758,Cs,K,Ag,Au,Cl,-0.164236594
193,CsK_AgInF6,6.351798794,6.450715379,-2.551140677,Cs,K,Ag,In,F,-1.533420391
194,CsK_AgSbCl6,7.485998071,7.615014463,-1.469606631,Cs,K,Ag,Sb,Cl,-1.694236992
