,correct_formula,A,A',B,B',X,lat_bvm,lat_opt,lat_err,hf_opt,pbe_bg
298,CsK_PdPtCl6,Cs,K,Pd,Pt,Cl,7.049783898,7.108428439,-0.82500009,-1.25339161,0
299,CsK_RuAgF6,Cs,K,Ru,Ag,F,6.727979602,6.300646193,6.782374314,-2.201234887,0
300,CsK_SbAuCl6,Cs,K,Sb,Au,Cl,7.409630539,7.600976568,-2.517387434,-1.356853947,0.37671
301,CsK_ScAgCl6,Cs,K,Sc,Ag,Cl,7.500140207,7.434445585,0.883651931,-1.961316014,3.280661
302,CsK_SnPbF6,Cs,K,Sn,Pb,F,6.675017304,6.812121735,-2.012653859,-2.664306133,2.307104
303,CsK_SrCdCl6,Cs,K,Sr,Cd,Cl,7.355254027,7.768035597,-5.31384756,-2.044811739,3.979623
304,CsK_SrPbF6,Cs,K,Sr,Pb,F,6.799468097,6.84005094,-0.593312,-3.135261226,4.645466
305,CsK_SrPdF6,Cs,K,Sr,Pd,F,6.431772571,6.487054165,-0.852183327,-2.746885509,0
306,CsK_TiCdF6,Cs,K,Ti,Cd,F,6.806539165,6.838264234,-0.46393453,-2.960132814,0.8907
307,CsK_TiCoCl6,Cs,K,Ti,Co,Cl,7.280300708,7.059763099,3.12386699,-1.600674817,0
308,CsK_TiCoF6,Cs,K,Ti,Co,F,6.464299483,6.02907334,7.218789994,-2.740268186,0
309,CsK_TiCrF6,Cs,K,Ti,Cr,F,6.501069036,6.130089619,6.051778034,-2.835388138,0
310,CsK_TiCuF6,Cs,K,Ti,Cu,F,6.169365244,6.0986032,1.160299198,-2.829508566,0
311,CsK_TiNiF6,Cs,K,Ti,Ni,F,6.413387795,6.04646635,6.068361647,-2.73970148,0
312,CsK_TiPbF6,Cs,K,Ti,Pb,F,6.97907322,6.483649444,7.641125269,-2.842696391,0
313,CsK_TiRbF6,Cs,K,Ti,Rb,F,6.672825273,6.597355455,1.143940455,-3.216644302,0.002575
314,CsK_TiZnCl6,Cs,K,Ti,Zn,Cl,7.253430651,7.186519897,0.931059191,-1.689861783,0
315,CsK_TiZnF6,Cs,K,Ti,Zn,F,6.441672066,6.027592191,6.86973939,-2.826944607,0
316,CsK_V_AgF6,Cs,K,V,Ag,F,6.269774407,6.260359915,0.1503826,-2.69775514,0
317,CsK_V_AuCl6,Cs,K,V,Au,Cl,7.25123862,7.271570075,-0.279601995,-1.454346233,0
318,CsK_V_BaF6,Cs,K,V,Ba,F,7.213832671,6.574322289,9.727396283,-3.170193598,0.227552
319,CsK_V_CdCl6,Cs,K,V,Cd,Cl,7.276058068,7.296789467,-0.284116721,-1.638151236,0.043766
320,CsK_V_CoF6,Cs,K,V,Co,F,6.478441619,5.974143426,8.44134727,-2.6078789,0.0005
321,CsK_V_FeF6,Cs,K,V,Fe,F,6.489755327,5.994492355,8.261966863,-2.661980341,0.000114
322,CsK_V_RbCl6,Cs,K,V,Rb,Cl,8.012085516,7.765883229,3.170306322,-1.871049079,0.006389
323,CsK_V_RbF6,Cs,K,V,Rb,F,6.645955215,6.54499789,1.542511192,-3.050948172,0.001372
324,CsK_V_SrF6,Cs,K,V,Sr,F,6.977659006,6.368391515,9.567054563,-3.22832938,0.707884
325,CsK_ZnBaCl6,Cs,K,Zn,Ba,Cl,7.720121126,7.764472357,-0.571207275,-2.020229942,4.221409
326,CsK_ZnBaF6,Cs,K,Zn,Ba,F,6.4869269,6.551675385,-0.988273704,-3.100932618,4.737254
327,CsK_ZnPbCl6,Cs,K,Zn,Pb,Cl,7.510817519,7.565686135,-0.725229874,-1.643751323,2.588113
328,CsK_ZnSrCl6,Cs,K,Zn,Sr,Cl,7.485361675,7.556464499,-0.94095359,-2.03660515,4.040492
329,CsK_ZnSrF6,Cs,K,Zn,Sr,F,6.296008069,6.34544002,-0.779015338,-3.15889765,5.136337
330,CsRbAgAuBr6,Cs,Rb,Ag,Au,Br,7.678331116,7.716221349,-0.491046476,-1.053026181,0
331,CsRbAgBiF6,Cs,Rb,Ag,Bi,F,6.57241611,6.696280667,-1.849751573,-2.489705209,2.632819
332,CsRbAgInCl6,Cs,Rb,Ag,In,Cl,7.420944247,7.500976779,-1.066961469,-1.563777858,1.006944
333,CsRbAgInF6,Cs,Rb,Ag,In,F,6.371597784,6.477633524,-1.636951822,-2.566107014,1.960804
334,CsRbAgSbF6,Cs,Rb,Ag,Sb,F,6.457864811,6.614268621,-2.364642547,-2.47972754,2.289554
335,CsRbAsAuCl6,Cs,Rb,As,Au,Cl,7.254067047,7.412845337,-2.141934477,-1.297896549,0.117898
336,CsRbBeCdF6,Cs,Rb,Be,Cd,F,6.030135919,5.919148069,1.875064599,-2.798384187,4.172595
337,CsRbBeSnCl6,Cs,Rb,Be,Sn,Cl,6.868693851,7.306366231,-5.990288006,-1.625672416,2.545758
338,CsRbCaCdCl6,Cs,Rb,Ca,Cd,Cl,7.222317952,7.601257918,-4.985227052,-2.063987611,3.817548
339,CsRbCaCoCl6,Cs,Rb,Ca,Co,Cl,7.359496668,7.34430005,0.206917172,-1.874208873,0.0018
340,CsRbCaCrCl6,Cs,Rb,Ca,Cr,Cl,7.423136278,7.421918246,0.016411283,-2.01037732,0
341,CsRbCaFeF6,Cs,Rb,Ca,Fe,F,6.18145677,6.223148901,-0.669952329,-3.071988582,0.004253
342,CsRbCaPdBr6,Cs,Rb,Ca,Pd,Br,7.768204387,7.846006306,-0.991611732,-1.534740314,0.033223
343,CsRbCaSnCl6,Cs,Rb,Ca,Sn,Cl,7.80914587,7.844259115,-0.447629846,-2.045849819,3.65836
344,CsRbCaTiCl6,Cs,Rb,Ca,Ti,Cl,7.697493709,7.442153582,3.430997818,-2.149105401,0.010635
345,CsRbCdSnF6,Cs,Rb,Cd,Sn,F,6.525110666,6.580175755,-0.836833104,-2.655294896,2.723177
346,CsRbCoBaCl6,Cs,Rb,Co,Ba,Cl,7.752648038,7.71403747,0.50052347,-1.867485009,0.004062
347,CsRbCoBaF6,Cs,Rb,Co,Ba,F,6.518039598,6.550991837,-0.50301145,-2.923701001,0
348,CsRbCoCdCl6,Cs,Rb,Co,Cd,Cl,6.977659006,7.25927368,-3.879378109,-1.45501056,0.00235
349,CsRbCoCuF6,Cs,Rb,Co,Cu,F,6.011751143,5.97571325,0.603072662,-2.299608958,0
350,CsRbCoPbCl6,Cs,Rb,Co,Pb,Cl,7.546172858,7.515905346,0.402712789,-1.490870869,0
351,CsRbCoPtF6,Cs,Rb,Co,Pt,F,6.065491258,6.12028449,-0.895272631,-2.062297647,0
352,CsRbCrAgCl6,Cs,Rb,Cr,Ag,Cl,7.242753338,7.264345584,-0.297235942,-1.561704286,0.740639
353,CsRbCrAgF6,Cs,Rb,Cr,Ag,F,6.26270334,6.256990774,0.091298936,-2.650350166,1.365922
354,CsRbCrMnCl6,Cs,Rb,Cr,Mn,Cl,6.93947524,7.189405657,-3.476371051,-1.625410555,0.036456
355,CsRbCrPbF6,Cs,Rb,Cr,Pb,F,6.376618242,6.459845207,-1.288373983,-2.688219457,0.042523
356,CsRbCrPtF6,Cs,Rb,Cr,Pt,F,6.082461821,6.218569218,-2.188725288,-2.300676891,0
357,CsRbCuAgF6,Cs,Rb,Cu,Ag,F,6.213205865,6.122750001,1.477373141,-2.187242691,0
358,CsRbCuNbF6,Cs,Rb,Cu,Nb,F,6.145323614,6.263440304,-1.885811699,-2.544167618,0
359,CsRbCuPbF6,Cs,Rb,Cu,Pb,F,6.297422283,6.37268834,-1.181072304,-2.475878223,0
360,CsRbCuSbF6,Cs,Rb,Cu,Sb,F,6.299472892,6.377906363,-1.229768305,-2.446831084,1.096032
361,CsRbCuSnCl6,Cs,Rb,Cu,Sn,Cl,7.353769103,7.367292912,-0.183565513,-1.516562866,0.08733
362,CsRbCuSrBr6,Cs,Rb,Cu,Sr,Br,7.717292699,7.950025704,-2.927449717,-1.573894463,0.046151
363,CsRbCuSrF6,Cs,Rb,Cu,Sr,F,6.287522788,6.347979241,-0.952373199,-2.8983589,0.001547
364,CsRbFeBaF6,Cs,Rb,Fe,Ba,F,6.532181734,6.595757985,-0.963896055,-2.990079439,0.006051
365,CsRbFeCdF6,Cs,Rb,Fe,Cd,F,6.235196886,6.216286041,0.304214524,-2.549121932,0
366,CsRbFeNiF6,Cs,Rb,Fe,Ni,F,6.017407997,6.003201223,0.236653303,-2.385995153,0
367,CsRbFePbBr6,Cs,Rb,Fe,Pb,Br,7.925182093,7.967903134,-0.536164161,-1.275131504,0
368,CsRbFeSnCl6,Cs,Rb,Fe,Sn,Cl,7.421651354,7.502120879,-1.072623679,-1.517452531,0
369,CsRbFeSrBr6,Cs,Rb,Fe,Sr,Br,7.994478557,7.983508525,0.137408659,-1.634143111,0.000491
370,CsRbGaAgF6,Cs,Rb,Ga,Ag,F,6.238661709,6.276560726,-0.603818216,-2.628538609,2.521143
371,CsRbK_AsBr6,Cs,Rb,K,As,Br,8.249673395,8.236411166,0.161019511,-1.434699676,2.930588
372,CsRbK_AsF6,Cs,Rb,K,As,F,6.459279025,6.59095092,-1.997767797,-2.760623748,4.633742
373,CsRbK_AuCl6,Cs,Rb,K,Au,Cl,7.801367695,7.783985683,0.223304779,-1.427030146,0.011059
374,CsRbK_AuF6,Cs,Rb,K,Au,F,6.679896341,6.628086623,0.781669295,-2.262470852,0.004954
375,CsRbK_BiF6,Cs,Rb,K,Bi,F,6.807175561,6.86302029,-0.813704851,-2.862252585,4.893363
376,CsRbK_CrCl6,Cs,Rb,K,Cr,Cl,7.679745329,7.609504775,0.923063407,-1.870084744,1.556276
377,CsRbK_CrF6,Cs,Rb,K,Cr,F,6.412609977,6.402168781,0.163088421,-3.034827975,2.055297
378,CsRbK_CuCl6,Cs,Rb,K,Cu,Cl,7.679745329,7.604943346,0.983596847,-1.490699144,0.014625
379,CsRbK_FeBr6,Cs,Rb,K,Fe,Br,8.085624622,8.102895155,-0.213140275,-1.419564002,0.683078
380,CsRbK_FeF6,Cs,Rb,K,Fe,F,6.435237394,6.446190417,-0.169914667,-2.833520075,1.689746
381,CsRbK_MnCl6,Cs,Rb,K,Mn,Cl,7.758941289,7.645229982,1.487349724,-1.793986202,0.006921
382,CsRbK_MoBr6,Cs,Rb,K,Mo,Br,8.235531259,8.148090249,1.073147294,-1.48003994,1.574199
383,CsRbK_MoCl6,Cs,Rb,K,Mo,Cl,7.869249946,7.729086318,1.813456626,-1.784925322,1.6359
384,CsRbK_MoF6,Cs,Rb,K,Mo,F,6.510402845,6.563328049,-0.806377551,-2.870821739,1.981522
385,CsRbK_NbBr6,Cs,Rb,K,Nb,Br,8.249673395,8.199624392,0.610381654,-1.564161138,0.012102
386,CsRbK_NbCl6,Cs,Rb,K,Nb,Cl,7.840965675,7.787589656,0.685398453,-1.870459448,0.010927
387,CsRbK_RhBr6,Cs,Rb,K,Rh,Br,8.122606306,8.007336172,1.439556571,-1.405470782,1.343733
388,CsRbK_V_F6,Cs,Rb,K,V,F,6.462107452,6.431903255,0.469599678,-3.092908034,0.001716
389,CsRbLiAuCl6,Cs,Rb,Li,Au,Cl,7.19184165,7.277484345,-1.176817303,-1.422940193,0.020684
390,CsRbLiAuF6,Cs,Rb,Li,Au,F,6.068956082,6.14660805,-1.263330399,-2.278689615,0.006493
391,CsRbLiBiBr6,Cs,Rb,Li,Bi,Br,7.758941289,7.982384497,-2.799203773,-1.52753452,2.93656
392,CsRbLiCuF6,Cs,Rb,Li,Cu,F,5.808740786,6.000111435,-3.189451581,-2.445306527,0.007037
393,CsRbLiMnF6,Cs,Rb,Li,Mn,F,5.856824047,6.023562189,-2.768098623,-2.898119405,0.007001
394,CsRbLiRhF6,Cs,Rb,Li,Rh,F,5.8935936,6.041078362,-2.441364822,-2.590578018,1.988879
395,CsRbLiTiF6,Cs,Rb,Li,Ti,F,5.906321522,6.054787805,-2.452047665,-3.248042483,0
396,CsRbLiV_F6,Cs,Rb,Li,V,F,5.887936746,6.023735356,-2.254392034,-3.075408989,0
397,CsRbMgBaCl6,Cs,Rb,Mg,Ba,Cl,7.816287649,7.824435293,-0.104130761,-2.301480487,4.748889
398,CsRbMgSnBr6,Cs,Rb,Mg,Sn,Br,7.853057201,8.000072936,-1.837679933,-1.586857524,2.390117
399,CsRbMgTiCl6,Cs,Rb,Mg,Ti,Cl,7.343940319,7.213095082,1.813995733,-1.965248714,0.005536
400,CsRbMgTiF6,Cs,Rb,Mg,Ti,F,6.402074086,6.010716195,6.511002654,-3.201141485,0
401,CsRbMgZnF6,Cs,Rb,Mg,Zn,F,5.991952153,5.958238966,0.565824687,-3.057347426,5.256497
402,CsRbMnAgCl6,Cs,Rb,Mn,Ag,Cl,7.290836599,7.262573482,0.389161185,-1.529497405,0.01177
