correct_formula,lat_bvm,lat_opt,hf_opt,lat_err
Cs2CaCdF6,6.461471056,6.455894742,-3.171984593,0.086375531
Rb2TiAgCl6,7.316292444,7.315264617,-1.730661294,0.014050434
CsK_TiAuCl6,7.279522891,7.341078126,-1.597344876,-0.838504013
RbK_CrSnF6,6.191356265,6.323394954,-2.652927512,-2.088098077
Cs2AsRbBr6,8.416550595,8.409810584,-1.457587495,0.080144626
Rb2CaMnF6,6.257824303,6.215960023,-3.236469165,0.673496606
RbK_CaCoF6,6.062662831,6.089128138,-3.009877868,-0.434632119
Cs2AgAuBr6,7.726414377,7.748458637,-1.073326565,-0.284498646
Cs2TiSrCl6,7.889826754,7.646966731,-2.177087971,3.175900084
Rb2CuMoF6,6.094624058,6.134267024,-2.452632125,-0.646254329
RbK_MnSrCl6,7.1855484,7.586028879,-2.041275198,-5.279184746
CsK_TiSnCl6,7.727121483,7.559947367,-1.703009773,2.21131323
CsRbScAuCl6,7.432257956,7.456577427,-1.84581466,-0.326147909
CsK_CoCdF6,6.20125576,6.148419591,-2.473298446,0.859345535
CsRbNiSnCl6,7.37639652,7.39964497,-1.484651041,-0.314183312
CsRbSrPdF6,6.443086279,6.506303135,-2.762247793,-0.971624809
CsK_ScAuCl6,7.41811582,7.436281844,-1.826667172,-0.244289072
Cs2TiPtF6,6.54632387,6.542350302,-2.60557355,0.060736082
Cs2MnSnCl6,7.198205611,7.60569084,-1.68507295,-5.357635982
K_2NaV_F6,5.99683119,5.96632472,-3.110807373,0.511310917
K_2ScAgF6,6.213205865,6.285579,-3.114354631,-1.151415559
Rb2NiSrF6,6.233782672,6.269913871,-2.982081306,-0.576263072
CsK_LiAlF6,5.742272749,5.893282761,-3.355135021,-2.562409081
Rb2TiV_F6,7.157264128,6.010590554,-2.923601862,19.0775526
Cs2NaAuCl6,7.409630539,7.536956184,-1.456144524,-1.689351006
Cs2V_MnF6,6.687745226,6.142599051,-2.790929555,8.874845489
K_2NaRuF6,6.534232344,6.022560148,-2.611760905,8.495925036
Rb2CoZnF6,5.912756194,5.909337758,-2.524122459,0.057848035
CsRbTiPbF6,6.97907322,6.390522533,-2.832294825,9.209742761
Rb2NaInF6,6.186335807,6.255894788,-2.961884993,-1.111894988
CsRbCoSnF6,6.245096381,6.340035822,-2.497246291,-1.497459068
CsRbTiSnBr6,8.127414632,7.980206079,-1.436135918,1.844671075
Cs2NaV_F6,6.237247495,6.261039266,-3.099323095,-0.379997147
Rb2AgInCl6,7.384174695,7.46235646,-1.543979169,-1.047681997
Cs2TiAgF6,6.381497279,6.397181458,-2.885151555,-0.245173278
