Compound,pbe_gap,hse06_gap
Cs2K_GaF6,6.01354,8.0146
CsK_CuInCl6,0.110098,1.0375
CsK_MgSrF6,6.379362,8.2862
CsK_CuGaF6,0.372538,2.6509
Rb2RhAgF6,1.500095,3.5389
CsRbCdSnBr6,1.286891,1.8505
Cs2AgInCl6,1.034904,2.4121
Cs2MgSnF6,4.470501,5.5415
RbK_ZnPbCl6,2.589693,3.419
RbBaCuSnF6,0.897431,2.1145999999999994
RbK_ZnPbF6,3.860069,5.2498
RbK_CaCuF6,0.001662,5.6308
RbK_NaAuF6,0.001674,0.0
Cs2CaCdF6,5.204451,7.1942
Cs2CaPbBr6,3.754498,4.5451999999999995
Cs2AsRbBr6,2.946231,3.4726
CsK_NaInF6,5.242238,7.2812
CsK_BeSrCl6,4.759581,6.0565
Cs2GaRbI6,0.956032,1.6941
Cs2AgAuBr6,0.0,0.0
CsRbLiCuF6,0.007037,0.0
CsRbSrPdF6,0.000252,0.32130000000000003
CsRbBeSnCl6,2.545758,3.2401999999999997
CsRbZnPdCl6,0.039759,0.0
RbBaNaCdF6,4.671324,6.5509
Rb2CaPbF6,4.984011,6.1563
Rb2AgBiF6,2.561169,4.007899999999999
CsK_ZnSrF6,5.136337,7.2653
CsK_LiAlF6,7.035982,8.9195
Cs2NaAuCl6,0.0,0.0
RbK_MgBaCl6,4.511807,5.7419
CsK_ZnSrCl6,4.040492,5.4154
CsBaLiSnF6,3.278692,4.230300000000001
Rb2NaInF6,5.239814,7.3392
CsK_BeSrF6,6.620002,8.6031
Rb2AgInCl6,0.981996,2.1604
RbK_CuRhF6,0.721946,1.2262000000000002
CsK_CaCuF6,0.001986,0.0
RbK_MgZnF6,5.484789,7.7655
CsRbK_AsBr6,2.930588,3.554
Cs2MgPdF6,1e-06,0.9211999999999999
CsBaNaCuF6,0.007198,5.443
Cs2AsRbF6,4.534633,5.812900000000001
CsRbK_AsF6,4.633742,5.766
RbK_AsAgCl6,1.217362,1.9512999999999998
RbBaLiPbF6,4.165942,5.4494
RbK_BePdF6,0.0,0.0
CsRbCuAgF6,0.0,0.0
CsK_AlRbCl6,4.420912,5.5945
RbK_MgPbCl6,3.831029,4.7652
Cs2CaPdF6,0.014892,1.0416
K_2CaZnF6,5.292678,7.5381
K_2PdSnF6,0.0,0.0
Cs2BeSrF6,6.968379,8.9514
CsK_ZnPbCl6,2.588113,3.3874999999999997
K_BaMgAgF6,2.641767,4.484500000000001
Rb2NaRhF6,2.102625,4.2143
CsRbLiAuF6,0.006493,0.0
CsBaCuZnF6,0.377247,2.6033000000000004
RbK_AlAgF6,3.121048,5.0911
CsBaLiCaF6,6.777281,8.5138
Rb2AgAuCl6,0.022322,0.0
CsK_GaAgF6,2.441425,4.3454
RbK_BeCdF6,4.610628,6.646800000000001
Rb2AsCsF6,3.764776,4.9549
K_2CuBaF6,0.008711,0.0
CsK_ZnBaCl6,4.221409,5.4977
CsRbZnCdCl6,1.602379,2.9634
Rb2K_CuF6,0.004466,1.0383000000000002
RbBaNaMgF6,6.798233,8.8884
RbK_LiAlF6,7.33942,9.5952
CsK_ZnBaF6,4.737254,6.8283000000000005
Cs2MgSrBr6,3.92033,5.022
Cs2RhAgCl6,0.635986,2.1686
CsK_NaSbCl6,3.094842,3.6767
K_2MgCaF6,6.601011,8.5618
CsK_BePbF6,5.07793,6.2699
Rb2CdSnF6,2.608076,3.5932
CsK_MgPbF6,5.215699,6.5087
CsRbCaCdCl6,3.817548,5.2107
Cs2PdSnBr6,0.056759,0.0
CsBaLiCuF6,0.008803,6.207999999999999
K_2NaCuF6,0.0,0.9311999999999998
Cs2RhAuCl6,0.063834,1.1408999999999998
CsRbK_AuF6,0.004954,0.0
RbK_MgSrCl6,4.727707,5.992
RbK_LiBiCl6,3.62264,4.3904
Cs2SrPdF6,0.0008,0.9663
CsK_CdSnCl6,1.870463,2.4983999999999997
CsK_CuSrCl6,0.042452,0.0
CsK_CaSnCl6,3.644201,4.4270000000000005
Cs2MgPbCl6,3.808635,4.7023
RbK_PdSnCl6,0.039191,0.0
Cs2CuAgF6,0.0,0.0
CsRbAlAgCl6,2.212874,3.6043000000000003
Cs2AlAgF6,3.463637,5.5342
CsK_MgSnCl6,3.099085,3.7266
RbK_LiBiF6,4.949795,6.0794
CsRbNaCuF6,0.00146,0.2791000000000001
CsRbLiBiCl6,3.633505,4.1879
Cs2CuCdCl6,0.072453,0.0
CsBaAgCdF6,1.466793,3.3217
RbK_LiAuF6,0.0,0.0
CsRbAgSbF6,2.289554,3.5617
Rb2SrPdF6,0.0,0.9638
RbK_CuBiF6,0.905255,2.3057
Cs2GaRbF6,5.91938,8.0696
Cs2PdPbF6,0.0,0.5065999999999999
CsRbMgSrCl6,4.92372,6.1795
Cs2K_CuF6,0.003756,0.8891
K_BaCuZnF6,0.173697,2.1533999999999995
Cs2CuSnBr6,0.158426,0.0
CsRbAgInCl6,1.006944,2.2991
CsRbMgSrBr6,3.865338,4.8574
CsK_SrPbF6,4.645466,5.7866
CsRbK_GaF6,5.927541,7.9841999999999995
Cs2CdBaCl6,4.169512,5.396100000000001
Cs2RbInBr6,2.466528,3.5336
