,compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
26,AgYbCl3,1722762,-1.60649424,-1.3602166640000002,-1.5732166640000003,-1.625416664,-0.018922424000000104
27,AgYbF3,1709258,-2.9961633,-2.798021628,-2.9402216279999998,-2.992421628,0.0037416720000003068
28,AgZnCl3,1709259,-0.79250639,-0.5198294479999999,-0.7328294479999999,-0.7292294479999999,0.06327694200000011
29,AgZnF3,5647,-1.95204356,-1.712340642,-1.854540642,-1.8509406419999996,0.10110291800000026
30,AuCdF3,1714540,-1.42614478,-1.1875973640000002,-1.329797364,-1.3259973639999998,0.10014741600000021
31,AuCoF3,1714536,-1.24620076,-1.0367644340000002,-1.178964434,-1.1697644339999997,0.07643632600000028
32,AuCuF3,1714539,-1.14895273,-0.9612587280000002,-1.103458728,-1.093058728,0.055894002000000054
33,AuHgF3,1718062,-0.90477655,-0.682997278,-0.809597278,-0.7983972779999997,0.1063792720000003
34,AuMgF3,1718063,-2.38890704,-2.161738932,-2.303938932,-2.3173389319999997,0.07156810800000013
35,AuMnF3,1714544,-1.68615686,-1.4769062960000006,-1.6191062960000004,-1.6333062960000002,0.05285056399999988
36,AuNiF3,1718065,-1.21059204,-0.9860268940000001,-1.128226894,-1.112626894,0.09796514600000017
37,AuTmF3,1718066,-2.95883079,-2.7658328200000004,-2.9080328200000003,-2.9012328199999997,0.05759797000000022
38,AuYbF3,1722763,-2.65435533,-2.4603182240000008,-2.6025182240000007,-2.668518224,-0.014162894000000037
39,AuZnCl3,1722765,-0.4733905,-0.2055715039999999,-0.418571504,-0.42877150399999997,0.04461899600000002
40,AuZnF3,1706443,-1.60330991,-1.3678585740000004,-1.5100585740000003,-1.5202585739999999,0.08305133600000003
41,BaAgCl3,1726024,-1.71745356,-1.485517164,-1.6985171639999996,-1.7621171639999997,-0.04466360399999969
42,BaAgF3,1710709,-2.58012574,-2.385988058,-2.528188058,-2.5917880579999997,-0.011662317999999505
43,BaLiBr3,1713547,-2.05315491,-1.8797597140000004,-2.0531597140000004,-2.1677597140000007,-0.11460480400000073
44,BaLiCl3,1710710,-2.40363914,-2.1950039740000005,-2.4080039740000005,-2.5238039740000007,-0.12016483400000055
45,BaNaF3,1440785,-3.49877587,-3.3011112560000004,-3.461511256,-3.5453112559999997,-0.046535385999999956
46,BaVCl3,1535121,-1.61887845,-1.4103949399999998,-1.6233949399999998,-1.7125949400000007,-0.09371649000000071
47,CsAgBr3,1489057,-1.11892336,-0.927628192,-1.101028192,-1.096628192,0.022295167999999865
48,CsAgCl3,1547067,-1.30277127,-1.0769285439999996,-1.2899285439999997,-1.2867285439999996,0.01604272600000045
49,CsAgF3,1430835,-2.08720375,-1.902627216,-2.044827216,-2.0416272159999997,0.04557653400000028
50,CsAgI3,1709171,-0.81994765,-0.7023456059999997,-0.8013456059999997,-0.7939456059999999,0.02600204400000017
51,CsBaBr3,1386168,-2.19138855,-2.0172467380000003,-2.1906467380000008,-2.2922467380000002,-0.10085818800000013
52,CsBaCl3,1385789,-2.47400025,-2.26377939,-2.47677939,-2.57957939,-0.10557914000000013
53,CsBaF3,1344290,-3.51249239,-3.335197538,-3.477397538,-3.5801975379999997,-0.06770514799999994
54,CsBaI3,1440784,-1.75346028,-1.6551789460000004,-1.7541789460000001,-1.8527789460000004,-0.09931866600000028
55,CsCaCl3,1344684,-2.51261902,-2.289163284,-2.5021632839999994,-2.5555632839999998,-0.042944263999999954
56,CsCaI3,1384839,-1.71266056,-1.603531792,-1.702531792,-1.7517317920000002,-0.03907123200000018
57,CsCdBr3,1706428,-1.44602544,-1.2394557519999998,-1.412855752,-1.433255752,0.012769688000000112
58,CsCdCl3,1345809,-1.69702521,-1.453635282,-1.6666352819999999,-1.688235282,0.008789928000000113
59,CsCdF3,646364,-2.68997087,-2.477737684,-2.619937684,-2.641537684,0.04843318599999957
60,CsCdI3,1709173,-1.050527,-0.920488824,-1.0194888239999997,-1.0368888239999998,0.013638176000000168
61,CsCeBr3,1711895,-1.86166116,-1.8838928860000004,-2.057292886,-2.112492886,-0.25083172600000014
62,CsCeCl3,1709261,-2.15270021,-2.1437412240000002,-2.3567412240000003,-2.413141224,-0.26044101399999997
63,CsCeF3,1711953,-3.20044542,-3.2716803240000005,-3.4138803240000004,-3.470280324,-0.2698349040000001
64,CsCeI3,1711867,-1.43596939,-1.5224607039999998,-1.6214607039999998,-1.6736607039999998,-0.23769131399999988
65,CsCoI3,1711862,-0.6083221,-0.4985808860000005,-0.5975808860000003,-0.6095808860000003,-0.0012587860000002893
66,CsCrBr3,1706429,-1.32605532,-1.1515859460000004,-1.3249859460000004,-1.3465859460000003,-0.02053062600000022
67,CsCrCl3,1709221,-1.61723283,-1.4070773840000004,-1.6200773840000005,-1.6428773840000002,-0.025644554000000097
68,CsCrF3,1706425,-2.69401603,-2.5135728340000005,-2.6557728340000004,-2.678572834,0.01544319599999966
