correct_formula,lat_bvm,lat_opt,hf_bvm,hf_opt,bvm_oqmd_lat_err
CuFeBr3,5.233,5.096541051,0.023653074,0.010534812,2.677481602
CsZnCl3,4.833,5.078757538,-1.543984654,-1.615031382,-4.838930312
CsHgI3,6.053,6.090425952,-0.824626322,-0.825480614,-0.614504672
InZnI3,5.533,5.678332757,-0.386667026,-0.403318828,-2.559426564
InCrBr3,5.333,5.257573546,-0.781619652,-0.786731048,1.434624801
CuMgBr3,5.373,5.228603432,-0.622441878,-0.638094396,2.761666091
SnLiI3,5.7659,5.501856146,-0.458148996,-0.49802957,4.799177714
RbZnCl3,4.833,5.010562762,-1.56656771,-1.60198841,-3.543768843
HgFeF3,4.113,4.155135363,-1.65933489,-1.662676716,-1.014055123
AuCuBr3,4.793,5.025089696,0.121873376,0.052024178,-4.618617976
NaZnCl3,4.833,4.915186981,-1.4358118,-1.443079932,-1.672102838
CsSrI3,6.573,6.479471464,-1.73849262,-1.742512148,1.44345934
K_ZnI3,5.533,5.75497542,-0.806148248,-0.845003176,-3.857104571
V_CuCl3,4.5459,4.741331994,-0.219435514,-0.27436091,-4.121879553
RbMgI3,5.733,5.877010806,-1.253926094,-1.268011476,-2.450409073
InMgF3,3.969,4.127852909,-2.887477668,-2.932938564,-3.84831806
AuMgCl3,4.973,4.899884022,-0.928004538,-0.933322426,1.492198135
CuMgF3,3.969,3.91110265,-2.511542326,-2.517111884,1.480333174
HgZnI3,5.533,5.650972081,-0.09444189,-0.104645926,-2.087642255
TlSnCl3,5.6148,5.576124935,-1.159354516,-1.160447702,0.693583186
RbCaBr3,5.833,5.731124946,-2.119245406,-2.12537659,1.77757517
AuCrCl3,4.993,4.812995748,-0.45135362,-0.485977004,3.73996283
K_CrBr3,5.333,5.280492985,-1.258745426,-1.261121892,0.9943582
K_PbBr3,6.0749,5.965375346,-1.35396649,-1.360985662,1.836006079
NaFeBr3,5.233,5.203928789,-0.904794006,-0.905520016,0.558639677
AgCaCl3,5.553,5.316969976,-1.467997216,-1.505376474,4.439182938
AuCaI3,6.253,6.065507308,-0.39923249,-0.415971824,3.091129603
CsSrCl3,5.833,5.729058749,-2.506730652,-2.513318648,1.814281465
RbBaI3,7.073,6.772588192,-1.647685214,-1.68015424,4.435701677
TlCoF3,4.093,4.176665617,-1.886952546,-1.899955496,-2.00316771
NaCoCl3,4.879,4.804662212,-1.102685924,-1.107893024,1.547201129
K_CoF3,4.093,4.102762241,-2.372444098,-2.372599834,-0.237943133
TlPdCl3,4.913,4.971371453,-0.88712075,-0.891483332,-1.174151913
K_SrF3,4.851,4.764653017,-3.547979964,-3.555456722,1.812240738
AuSrCl3,5.833,5.61106079,-1.108929612,-1.137231264,3.95538773
InPbF3,4.873,4.844082366,-2.125448178,-2.126341298,0.596968256
TlNiF3,4.005,4.154940773,-1.82016657,-1.865816936,-3.608734304
AuFeBr3,5.233,5.081101028,0.047422584,0.027957126,2.989489309
InSrI3,6.573,6.408703121,-1.11623247,-1.128135262,2.563652519
CsFeF3,4.113,4.307558193,-2.37860962,-2.45038991,-4.516670101
AuCrBr3,5.333,5.099225656,-0.139323476,-0.187293382,4.584506742
AgPtBr3,5.213,5.166986129,-0.121100448,-0.12384892,0.890535989
TlZnBr3,5.113,5.272603695,-0.878353412,-0.90336223,-3.027037574
NaFeI3,5.709,5.636452135,-0.445229062,-0.448658332,1.287119331
NaCoF3,4.093,4.026936716,-2.283469584,-2.290625872,1.640534447
CsNiCl3,4.853,4.920413551,-1.253777704,-1.258905834,-1.370078964
CsSnBr3,5.813,5.893978997,-1.423803646,-1.4282077,-1.373927478
AuPdCl3,4.913,4.849317222,-0.152691202,-0.158082064,1.313231844
AuBeF3,3.575,3.734131691,-1.80433712,-1.875063656,-4.261544695
CdLiI3,5.7659,5.549670909,-0.303610026,-0.32395322,3.896250688
AuZnI3,5.533,5.570460669,0.25197854,0.250894394,-0.672487811
TlBaF3,5.189,5.106768665,-3.011409652,-3.017366188,1.610242022
PbLiI3,5.7659,5.535975451,-0.577099808,-0.608208076,4.153279779
HgSrF3,4.851,4.74568939,-2.604807702,-2.615841882,2.219079281
LiBeF3,3.575,3.49219135,-3.070643974,-3.084142802,2.371251793
CuZnBr3,5.113,5.164306635,-0.190429062,-0.192937744,-0.99348545
HgNiF3,4.005,4.083712221,-1.397215314,-1.41028375,-1.927467381
AgSnCl3,5.6148,5.459212738,-0.627263538,-0.642761728,2.849994486
CoBeF3,3.575,3.591217933,-1.864720472,-1.865267458,-0.4515998
HgMgCl3,4.973,4.958628749,-1.217233692,-1.217446664,0.289823089
HgCaCl3,5.553,5.359787014,-1.48328629,-1.506831928,3.604863132
TlCuF3,4.001,4.157299293,-1.783762108,-1.832521664,-3.75963533
K_FeI3,5.709,5.685670288,-0.604039186,-0.604428836,0.410324743
CsMgI3,5.733,5.915693741,-1.297101898,-1.320256188,-3.088289371
AgMgI3,5.733,5.741344243,-0.361620992,-0.361667192,-0.145336051
K_HgI3,6.053,6.041567742,-0.718084528,-0.718166046,0.189226679
CsSnCl3,5.6148,5.631055523,-1.6669079,-1.667090424,-0.288676305
HgFeI3,5.709,5.546798742,0.063981642,0.045424456,2.924231896
RbPbCl3,5.873,5.709614716,-1.64315548,-1.660107926,2.861581597
AgCoCl3,4.879,4.738680832,-0.397007468,-0.414048342,2.961144103
HgMgBr3,5.373,5.287238666,-0.880624494,-0.886127598,1.622043933
NaZnF3,4.053,4.055878156,-2.649560122,-2.649573874,-0.070962585
NaNiCl3,4.853,4.704053503,-1.133724052,-1.159705764,3.166343599
RbSnF3,4.663,4.752547257,-2.639271792,-2.648688426,-1.884194983
AgSnF3,4.663,4.588845549,-1.730908426,-1.73669588,1.615971821
CsHgCl3,5.373,5.404245195,-1.344930112,-1.345822412,-0.578160203
AgNiCl3,4.853,4.668894218,-0.430385852,-0.472377194,3.943241663
InMgI3,5.733,5.792181032,-0.764876168,-0.767215316,-1.021740026
NaCaI3,6.253,6.148393457,-1.407043786,-1.4125539,1.70136384
RbCaI3,6.253,6.194077701,-1.637953094,-1.639776592,0.951268322
InSrBr3,6.173,5.964935088,-1.568744424,-1.590923404,3.488133717
HgNiCl3,4.853,4.705851337,-0.421614156,-0.446991456,3.126929698
AuPdI3,5.533,5.47602783,0.265954544,0.262672328,1.040392266
AuMgBr3,5.373,5.225206947,-0.564352218,-0.581270084,2.82846315
AuPbF3,4.873,4.691115853,-1.379517348,-1.410016498,3.87720433
NaMgBr3,5.373,5.308519566,-1.578041716,-1.581120036,1.214659439
TlBaBr3,6.573,6.305051931,-1.634698656,-1.666347842,4.249736115
CsMnF3,4.393,4.379958818,-2.759930644,-2.760168996,0.297746681
HgNiBr3,5.213,4.988091341,-0.1791449,-0.227553152,4.5089122
LiMgCl3,4.973,4.938433255,-1.80547274,-1.806582758,0.699953674
K_PbF3,4.873,4.839050378,-2.63950748,-2.640725192,0.701576122
TlNiI3,5.613,5.440253815,-0.266242078,-0.290084628,3.17533319
TlZnCl3,4.833,4.977210582,-1.157591732,-1.181402272,-2.897417733
HgMnF3,4.393,4.184630949,-1.866151018,-1.929632654,4.979388948
InCaI3,6.253,6.134431198,-1.102052374,-1.109468774,1.932841011
InZnF3,4.053,4.192167629,-2.144645864,-2.181590094,-3.31970573
RbSrBr3,6.173,6.004416876,-2.124428424,-2.138953194,2.807651892
AgZnBr3,5.113,5.184864782,-0.426257328,-0.431421062,-1.3860493
CuBeF3,3.575,3.568067772,-2.20332627,-2.203444188,0.194285211
HgPtBr3,5.213,5.182757557,-0.176975252,-0.178194566,0.583520311
CsCdF3,4.621,4.557878143,-2.643213964,-2.64832303,1.384895669
AuCuCl3,4.813,4.738425323,-0.16890782,-0.175595436,1.573828264
CsMgCl3,4.973,5.128473965,-2.117405538,-2.141651066,-3.031583392
CsNiBr3,5.213,5.184717766,-1.025008206,-1.026848176,0.545492258
CsPbCl3,5.873,5.73484293,-1.710617002,-1.722949184,2.409082022
CsCaCl3,5.553,5.46526815,-2.50091882,-2.506337812,1.605261583
AgPtCl3,4.913,4.8967193,-0.304820876,-0.305209176,0.33248179
BaLiCl3,5.1459,4.908335105,-2.36757561,-2.411291224,4.84003007
K_FeBr3,5.233,5.25315107,-1.052021198,-1.052386714,-0.383599667
RbFeF3,4.113,4.212791167,-2.478596448,-2.495843674,-2.368766052
HgFeCl3,4.933,4.888046385,-0.567439598,-0.569689194,0.919664247
RbSnI3,6.317,6.257053527,-0.984438678,-0.986412104,0.958062333
AuPbI3,6.313,6.192529834,0.201200884,0.194371166,1.945411152
